session_id,cities,session_date,session_time,user_id,joining_date,country,num_cities,session_hour,coordinates,distances,avg_distance,std_distance,intent
I9A6XU2KX4QLY,Los Angeles CA,2015-02-28,03:40:35,7327,2015-02-28,unknown,1,3,"['34.0536909, -118.2427666']",[],0.0,0.0,high
YAVR0T93L6Z6W,New York NY,2015-02-28,15:30:16,9713,2015-02-28,US,1,15,"['40.7127281, -74.0060152']",[],0.0,0.0,high
DRAR5CK2PVT7J,New York NY,2015-03-01,03:33:58,5005,2015-02-28,IT,1,3,"['40.7127281, -74.0060152']",[],0.0,0.0,high
2TO9HMQEK5D9M,"Los Angeles CA, Anaheim CA, Santa Ana CA, Long Beach CA",2015-03-01,11:36:11,1942,2015-03-01,ES,4,11,"['34.0536909, -118.2427666', '33.8347516, -117.911732', '33.7494951, -117.8732213', '47.9960267, -53.8155345']","[39.06757347312749, 48.02850621465514, 5466.040110774777, 10.106709662219263, 5456.180362198557, 5459.028180910723]",2746.408573872343,2714.03334995067,low
R3EW1FQVC7MQO,"New York NY, Jersey City NJ",2015-03-01,12:33:50,6419,2015-03-01,DE,2,12,"['40.7127281, -74.0060152', '40.7281575, -74.0776417']",[6.2895817337946],6.2895817337946,0.0,high
HCCFWYHWI2NHQ,Toronto ON,2015-03-01,12:45:51,286,2015-02-28,unknown,1,12,"['43.6534817, -79.3839347']",[],0.0,0.0,high
CR7GXYLP4AZ1X,OTTAWA ON,2015-03-01,13:37:11,603,2015-02-28,US,1,13,"['45.421106, -75.690308']",[],0.0,0.0,high
UC8MULBH0TJOP,Chicago IL,2015-03-01,18:05:37,5659,2015-02-28,IT,1,18,"['41.8755616, -87.6244212']",[],0.0,0.0,high
BJSZQ8C1R85YL,"Toronto ON, Chicago IL",2015-03-02,00:27:29,9099,2015-03-01,US,2,0,"['43.6534817, -79.3839347', '41.8755616, -87.6244212']",[702.4693684489885],702.4693684489885,0.0,high
SANFHCC05LZRE,"Houston TX, San Antonio TX, Austin TX",2015-03-02,01:44:20,6066,2015-03-01,US,3,1,"['29.7589382, -95.3676974', '29.4246002, -98.4951405', '30.2711286, -97.7436995']","[305.2309057652728, 236.13888733408857, 118.65111624660021]",220.00696978198718,77.02027238391585,high
8QCSI7CG5WHI7,Los Angeles CA,2015-03-02,05:53:50,7488,2015-02-28,unknown,1,5,"['34.0536909, -118.2427666']",[],0.0,0.0,high
YRHAGX4P5W6AM,San Antonio TX,2015-03-02,07:27:59,1071,2015-03-01,FR,1,7,"['29.4246002, -98.4951405']",[],0.0,0.0,high
TGCS6UV4KEOJR,Toronto ON,2015-03-02,08:22:49,2054,2015-02-28,unknown,1,8,"['43.6534817, -79.3839347']",[],0.0,0.0,high
F7VCTIE20F7DB,New York NY,2015-03-02,09:06:06,5209,2015-03-01,IT,1,9,"['40.7127281, -74.0060152']",[],0.0,0.0,high
YIXOSVD51RECW,Montreal QC,2015-03-02,10:19:02,4979,2015-02-28,DE,1,10,"['45.4972159, -73.6103642']",[],0.0,0.0,high
LP3DL1Q9Z1HFV,"Toronto ON, Vancouver BC",2015-03-02,11:46:54,9668,2015-03-02,FR,2,11,"['43.6534817, -79.3839347', '49.2608724, -123.1139529']",[3367.9263341041437],3367.9263341041437,0.0,low
EEBNPTA77L6YT,"San Antonio TX, Corpus Christi TX, Arlington TX, Fort Worth TX",2015-03-02,12:28:14,9825,2015-03-01,ES,4,12,"['29.4246002, -98.4951405', '27.7477253, -97.4014129', '32.701938999999996, -97.10562379033699', '32.753177, -97.3327459']","[214.44073434456269, 386.79210927601434, 385.3396093112283, 549.943980065497, 554.9288007029362, 22.03552127071721]",352.2467924951593,187.2977492155818,high
NAK225KU12OIN,"Indianapolis IN, Cincinnati OH, Fort Wayne IN",2015-03-02,13:11:46,6132,2015-03-01,DE,3,13,"['39.7683331, -86.1583502', '39.1014537, -84.5124602', '41.0799898, -85.1386015']","[159.87390083815544, 169.4161217030064, 226.08385650473315]",185.12462634863166,29.22336275418202,high
HHAWJ6YRC92LX,"San Antonio TX, Montreal QC",2015-03-02,15:13:41,111,2015-03-02,UK,2,15,"['29.4246002, -98.4951405', '45.4972159, -73.6103642']",[2812.894719213653],2812.894719213653,0.0,low
1RXE1QSG2A0ZE,"New York NY, Vancouver BC",2015-03-02,17:18:52,5330,2015-03-01,US,2,17,"['40.7127281, -74.0060152', '49.2608724, -123.1139529']",[3914.1866982834285],3914.1866982834285,0.0,low
QV9M2LUUZRGGL,Houston TX,2015-03-02,21:11:58,7533,2015-02-28,US,1,21,"['29.7589382, -95.3676974']",[],0.0,0.0,high
UCSGZKZ8VPJP6,"Phoenix AZ, New York NY",2015-03-03,03:42:30,3882,2015-03-02,unknown,2,3,"['33.4484367, -112.0741417', '40.7127281, -74.0060152']",[3450.948449450713],3450.948449450713,0.0,low
VUXSUJWWU7Q02,"New York NY, Philadelphia PA, Baltimore MD",2015-03-03,07:24:00,7512,2015-03-03,UK,3,7,"['40.7127281, -74.0060152', '39.9527237, -75.1635262', '39.2908816, -76.610759']","[129.60181091014726, 272.73605892878385, 144.3618561155261]",182.23324198481907,64.27822150469943,high
4MM66XW0P1H4U,"Los Angeles CA, Long Beach CA",2015-03-03,07:45:38,1604,2015-03-02,ES,2,7,"['34.0536909, -118.2427666', '47.9960267, -53.8155345']",[5466.040110774777],5466.040110774777,0.0,low
XY0WS292VIXYN,Chicago IL,2015-03-03,08:07:34,1229,2015-03-01,DE,1,8,"['41.8755616, -87.6244212']",[],0.0,0.0,high
VRBLKJEAF6TBH,"Dallas TX, New York NY",2015-03-03,08:14:43,5005,2015-02-28,IT,2,8,"['32.7762719, -96.7968559', '40.7127281, -74.0060152']",[2209.332009366533],2209.332009366533,0.0,low
